,Strategy 1,Strategy 2,Correlation
45,adx_di_ema,williams_ema,-0.039
702,ichimoku_cloud_break,stoch_bb_bounce,-0.039
686,ichimoku_cloud_bounce,trend_mean_reversion,-0.038
421,engulfing_ema,h1_trend_m5_bb,-0.038
560,h1_trend_m5_ema_cross,stoch_bb_bounce,-0.038
607,h1_trend_m5_rsi,momentum_exhaustion,-0.037
47,adx_rsi_ema,cci_ema,-0.037
432,engulfing_ema,macd_divergence,-0.037
208,donchian_rsi,macd_divergence,-0.037
242,ema_macd_rsi_confluence,rsi_divergence,-0.036
158,cci_ema,engulfing_ema,-0.036
833,momentum_exhaustion,stoch_divergence,-0.036
941,trend_mean_reversion,triple_confirm,-0.035
466,fib_ema_bounce,morning_evening_star,-0.035
841,morning_evening_star,rsi_divergence,-0.034
269,ema_ribbon_pullback,stoch_bb_bounce,-0.034
526,h1_trend_m5_bb,pin_bar_ema,-0.034
624,h1_trend_m5_stoch,heikin_ashi_ema,-0.033
386,ema_stochastic_mtf,h1_adx_m5_ema,-0.033
196,donchian_rsi,ema_stochastic_mtf,-0.033
144,breakout_retest,scalp_pullback,-0.033
636,h1_trend_m5_stoch,parabolic_sar_ema,-0.032
336,ema_stoch_cross,rsi_divergence,-0.032
723,keltner_rsi,stoch_divergence,-0.032
528,h1_trend_m5_bb,rsi_divergence_ema,-0.032
609,h1_trend_m5_rsi,parabolic_sar_ema,-0.032
276,ema_rsi_cross,ema_stochastic_mtf,-0.031
416,ema_stochastic_mtf,triple_confirm,-0.031
371,ema_stochastic,rsi_divergence,-0.03
741,macd_bb_breakout,macd_divergence,-0.03
404,ema_stochastic_mtf,parabolic_sar_ema,-0.03
168,cci_ema,ichimoku_cloud_break,-0.03
340,ema_stoch_cross,stoch_divergence,-0.029
721,keltner_rsi,scalp_pullback,-0.029
496,h1_adx_m5_ema,rsi_divergence,-0.029
871,pin_bar_ema,stoch_bb_bounce,-0.028
125,breakout_retest,ema_stochastic_mtf,-0.028
788,macd_ema_trend,stoch_bb_bounce,-0.028
396,ema_stochastic_mtf,ma_ribbon_pullback,-0.027
363,ema_stochastic,macd_divergence,-0.027
329,ema_stoch_cross,macd_ema_trend,-0.027
890,rsi_divergence,tweezer_reversal,-0.026
909,scalp_pullback,triple_confirm,-0.026
443,engulfing_ema,stoch_divergence,-0.026
524,h1_trend_m5_bb,morning_evening_star,-0.026
20,adx_di_ema,ichimoku_cloud_bounce,-0.026
142,breakout_retest,rsi_divergence,-0.026
400,ema_stochastic_mtf,macd_histogram_div,-0.025
320,ema_stoch_cross,h1_trend_m5_rsi,-0.025
715,keltner_rsi,macd_histogram_div,-0.025
587,h1_trend_m5_macd,stoch_bb_bounce,-0.025
699,ichimoku_cloud_break,rsi_divergence,-0.025
105,bb_rsi_bounce,morning_evening_star,-0.024
478,h1_adx_m5_ema,h1_trend_m5_bb,-0.024
870,pin_bar_ema,scalp_pullback,-0.024
742,macd_bb_breakout,macd_histogram_div,-0.024
777,macd_divergence,tweezer_reversal,-0.023
406,ema_stochastic_mtf,rsi_divergence,-0.023
774,macd_divergence,trend_mean_reversion,-0.022
908,scalp_pullback,trend_momentum_vol,-0.022
253,ema_ribbon_pullback,ema_stochastic_mtf,-0.021
918,stoch_bb_bounce,triple_confirm,-0.021
9,adx_di_ema,ema_stochastic,-0.02
840,morning_evening_star,pin_bar_ema,-0.02
245,ema_macd_rsi_confluence,stoch_bb_bounce,-0.02
919,stoch_bb_bounce,tweezer_reversal,-0.02
578,h1_trend_m5_macd,macd_histogram_div,-0.02
36,adx_di_ema,stoch_bb_bounce,-0.019
719,keltner_rsi,rsi_divergence,-0.019
629,h1_trend_m5_stoch,macd_bb_breakout,-0.019
778,macd_divergence,williams_ema,-0.019
225,ema_macd_rsi_confluence,ema_stochastic_mtf,-0.019
31,adx_di_ema,parabolic_sar_ema,-0.019
751,macd_bb_breakout,stoch_bb_bounce,-0.019
399,ema_stochastic_mtf,macd_ema_trend,-0.018
21,adx_di_ema,ichimoku_cloud_break,-0.018
244,ema_macd_rsi_confluence,scalp_pullback,-0.018
8,adx_di_ema,ema_stoch_cross,-0.018
613,h1_trend_m5_rsi,scalp_pullback,-0.017
683,ichimoku_cloud_bounce,stoch_bb_bounce,-0.017
843,morning_evening_star,scalp_pullback,-0.017
682,ichimoku_cloud_bounce,scalp_pullback,-0.017
691,ichimoku_cloud_break,macd_divergence,-0.017
376,ema_stochastic,stoch_ema_trend,-0.017
914,stoch_bb_bounce,supertrend_rsi_ema,-0.017
848,morning_evening_star,three_bar_reversal,-0.017
274,ema_rsi_cross,ema_stoch_cross,-0.017
892,rsi_divergence_ema,scalp_pullback,-0.016
787,macd_ema_trend,scalp_pullback,-0.016
409,ema_stochastic_mtf,stoch_bb_bounce,-0.016
586,h1_trend_m5_macd,scalp_pullback,-0.016
172,cci_ema,macd_divergence,-0.016
907,scalp_pullback,three_bar_reversal,-0.016
216,donchian_rsi,stoch_bb_bounce,-0.016
392,ema_stochastic_mtf,heikin_ashi_ema,-0.015
14,adx_di_ema,h1_trend_m5_bb,-0.015
76,adx_rsi_ema,trend_mean_reversion,-0.015
148,breakout_retest,trend_mean_reversion,-0.015
298,ema_rsi_cross,pin_bar_ema,-0.014
383,ema_stochastic,williams_ema,-0.014
166,cci_ema,heikin_ashi_ema,-0.014
920,stoch_bb_bounce,williams_ema,-0.014
844,morning_evening_star,stoch_bb_bounce,-0.014
722,keltner_rsi,stoch_bb_bounce,-0.013
736,ma_ribbon_pullback,stoch_bb_bounce,-0.013
84,bb_rsi_bounce,ema_stoch_cross,-0.013
38,adx_di_ema,stoch_ema_trend,-0.012
156,cci_ema,ema_stochastic,-0.012
401,ema_stochastic_mtf,marubozu_trend,-0.012
521,h1_trend_m5_bb,macd_histogram_div,-0.012
557,h1_trend_m5_ema_cross,rsi_divergence,-0.011
763,macd_divergence,marubozu_trend,-0.011
626,h1_trend_m5_stoch,ichimoku_cloud_break,-0.011
917,stoch_bb_bounce,trend_momentum_vol,-0.01
669,heikin_ashi_ema,trend_mean_reversion,-0.01
