,strategy,adx_di_ema,adx_rsi_ema,bb_rsi_bounce,breakout_retest,cci_ema,donchian_rsi,ema_macd_rsi_confluence,ema_ribbon_pullback,ema_rsi_cross,ema_stoch_cross,ema_stochastic,ema_stochastic_mtf,engulfing_ema,fib_ema_bounce,h1_adx_m5_ema,h1_trend_m5_bb,h1_trend_m5_ema_cross,h1_trend_m5_macd,h1_trend_m5_rsi,h1_trend_m5_stoch,heikin_ashi_ema,ichimoku_cloud_bounce,ichimoku_cloud_break,keltner_rsi,ma_ribbon_pullback,macd_bb_breakout,macd_divergence,macd_ema_trend,macd_histogram_div,marubozu_trend,momentum_exhaustion,morning_evening_star,parabolic_sar_ema,pin_bar_ema,rsi_divergence,rsi_divergence_ema,scalp_pullback,stoch_bb_bounce,stoch_divergence,stoch_ema_trend,supertrend_rsi_ema,three_bar_reversal,trend_mean_reversion,trend_momentum_vol,triple_confirm,tweezer_reversal,williams_ema
10,ema_stochastic,-0.019903923700622432,0.12712582139209214,-0.06851765417703463,0.12537170815584134,-0.01158827354534262,0.08329567468605918,0.19247850787463627,0.10787222326539186,0.045877116602227576,-0.04550979135671282,1.0,-0.0014675935876483329,0.16769765488856728,0.027154718348380635,-0.00567383464868777,-0.04815663820316017,0.0003471654675169625,0.08198339136140148,-0.05305412314927229,-0.0015808946343098189,0.0658024837926591,0.154669616475225,0.040752953859487774,0.10044479042947006,0.10917241165919295,0.050084296539001996,-0.02682763940328068,0.08936277919312358,0.05645422441624764,0.06875053353982649,0.11366848845422978,0.0202168635096304,0.05548915258773694,0.06357068543489883,-0.030007821824920355,0.04347612941779669,0.018466230893286955,0.019790388851854863,-0.06208013486198971,-0.01672957297622433,0.1581528597688442,0.09091418248495725,-0.05204080548235579,0.16137841132043196,0.19514476000283454,0.1300584952237701,-0.01411953437568534
11,ema_stochastic_mtf,-0.0037689930090913223,0.012073497984807113,0.07604782476749608,-0.027885541952763944,-0.008506692836155752,-0.03285683038462063,-0.019487948880716723,-0.020813110415593066,-0.030573152713353105,0.10986001085981237,-0.0014675935876483329,1.0,0.07778097145789507,0.05064341853524519,-0.03285082920260649,0.13662964253956492,0.02576214241008043,0.039529637844125,0.10297543761899526,0.12551859315925482,-0.015312921201187197,0.030723085188890203,0.09063411725134003,0.029350290568172444,-0.02660819104900377,-0.07087112885717482,0.041824736904946674,-0.01818507069378808,-0.02515017490733522,-0.011765624653365668,-0.03961134840327545,0.07322660476440308,-0.030340319662296722,-0.07073026693278718,-0.02322009571266845,0.006346096155030893,0.05216697937817525,-0.016127410275407966,0.02342977171143582,0.06895898457962076,0.03652668793275896,-0.0827931556280117,0.051424158229430625,0.0019724605392430817,-0.030826819016415426,0.05940821253494875,0.02172840475435416
12,engulfing_ema,0.03840298923052055,0.24686504518128108,-0.1343676411430261,0.14253467917565874,-0.03620604280849739,0.1703356883147652,0.24051709998433943,0.3188103122962,0.02865562324895874,0.17991734415054694,0.16769765488856728,0.07778097145789507,1.0,0.14909404455581188,0.03211511648322488,-0.03757323003170715,0.009089024139701233,0.0918468026670747,-0.0049154097919986905,0.008838996783607984,0.26555951640896985,0.2954388750829488,0.27023280578641873,0.23951615772955878,0.2522964637040067,0.03515739628953462,-0.03736392357062382,0.1192203183587471,-0.002941782925792431,0.3134116632901134,0.19553399116617554,0.057875380112801945,0.09747889994385918,0.07469085402009941,-0.06902290609428474,0.06360497602870345,-0.0546724875281163,-0.0017140978205348882,-0.026006998587216317,0.1780260256681321,0.2746940423321165,0.09673522159774237,-0.0025268009722872664,0.2542901457249607,0.24211041328592,0.33885502248232613,0.08507050299268269
13,fib_ema_bounce,-0.04189052272975045,0.3318210661755885,-0.16256947656464227,0.20827467827097612,-0.07160834817415933,0.13510818403219516,0.4436837808521027,0.34643296295278087,0.12104756815378793,0.17196856499860816,0.027154718348380635,0.05064341853524519,0.14909404455581188,1.0,0.04874320278107144,-0.11429530669575776,0.0535097921299214,-0.002699454338010527,-0.27094764842634456,-0.09662299764302265,0.28541582260315723,0.4527056926716008,0.14731088905017364,0.14147898947705032,0.46479327945320925,0.028303541720053133,-0.07980783076025398,0.1647365136596727,-0.12226257934032873,0.13907046454445893,0.024473874900423978,-0.03476130671195684,0.08191843769597175,0.15519057706746434,-0.09737113793551473,0.15073224658894255,0.05228896267189401,-0.039229906553124264,-0.06779509361009842,0.26978426496574426,0.48072346875477767,0.1949917380453615,0.11676146657163969,0.3980695284951442,0.4578567164573796,0.32150961670798217,0.13564587696404548
14,h1_adx_m5_ema,0.16976357734854147,0.04397425808507266,-0.051344282726039116,0.08449330874468722,0.25388598669482193,0.151883865407044,0.1405878564056297,0.1246830000404531,0.09601881195843867,-0.06763953939382529,-0.00567383464868777,-0.03285082920260649,0.03211511648322488,0.04874320278107144,1.0,-0.0240181711176667,0.7086389116615912,0.16837776309397792,0.10887997435980061,0.02404580423732545,0.01851125566440236,0.018085505828279426,-0.0008708084867406636,0.07438445899399287,0.13160404396332803,0.14580297833067066,0.04780015466865094,0.18802792092337145,0.0778000275531906,0.026247800030801367,0.05125074138990917,0.07865546694306634,0.05681489671615993,0.026060478782814214,-0.028757467658456354,0.08086101556031536,0.008238795367048704,-0.041101324511929875,0.014929740743480637,0.02425644849321658,0.08358080075645458,0.1235215989793183,-0.051268115743206624,0.09828455709058394,0.13308550425738824,0.02423739397353549,0.1402249789262384
15,h1_trend_m5_bb,-0.015286203508486036,-0.1619959072755258,0.4318040826497614,-0.2092467821945801,0.06284258130415546,-0.22224330758868385,-0.23168355871311858,-0.2381205528213091,0.011322584657435925,0.01707297715159803,-0.04815663820316017,0.13662964253956492,-0.03757323003170715,-0.11429530669575776,-0.0240181711176667,1.0,0.006225939730667229,0.041161892717203476,0.25602425543525614,0.19193842419702178,-0.07254718278192768,-0.22689555936692304,-0.07066458521747565,-0.18463046723714652,-0.24750338972504185,-0.06313470168323417,0.10849096898351093,-0.04675407788118344,-0.012400846213347255,-0.13034023631640887,-0.148180399797566,-0.02586070770974025,0.015000973844062584,-0.03399360076801572,0.07615919326941653,-0.03239684126671144,0.04197888012993313,0.11596326960641083,0.07241973809339798,0.007461751800243506,-0.07448119237434063,-0.1861722161847397,0.080185994003889,-0.24249049626542046,-0.23540033007338457,-0.08809458698423915,0.04104977023506015
16,h1_trend_m5_ema_cross,0.03709620958119822,0.05354484740974811,-0.048181540380753986,0.07570082926756995,0.24583877202558638,0.12503555858062337,0.16566373978819687,0.12931717176208446,0.08105056049592593,-0.0761064879435929,0.0003471654675169625,0.02576214241008043,0.009089024139701233,0.0535097921299214,0.7086389116615912,0.006225939730667229,1.0,0.26507820848152996,0.10052057303148873,0.033672779755798576,-0.008110953366954882,0.04049919927258456,0.016702109734151312,0.09955809746579149,0.10810965328206794,0.09427267907284737,0.05336570443481539,0.23940053179171897,0.07883027802120014,0.03866441172712055,0.04521020748416962,0.07557047003515413,0.12324396415017923,0.01335095816590108,-0.010536013474577765,0.04757772372094795,-0.004892399857874334,-0.03824288003449504,0.024073815374595093,0.02660682146398927,0.07288833426256296,0.171594189754546,-0.08660075761977859,0.11984070217060272,0.1599865057558107,0.07034506985393041,0.16465873790571087
17,h1_trend_m5_macd,0.013718798972596284,0.08527751897097145,-0.11042795569478979,0.1253394888723639,0.13824799493461873,0.1548762508347176,0.14816924395998599,0.15303846247844438,-0.003699543642469235,0.019280462418229213,0.08198339136140148,0.039529637844125,0.0918468026670747,-0.002699454338010527,0.16837776309397792,0.041161892717203476,0.26507820848152996,1.0,0.1278431692722077,0.057202980209172624,0.11837010094211617,0.13154639446742744,0.07277878923543263,0.19728812675042903,0.13242250441576292,0.34968141427479316,0.013217156031496514,0.3682019872063621,-0.02010834681139861,0.14343971466981142,0.02584231033961025,0.05604043256426693,0.18433127225908524,0.02234030630312628,0.012130506924376665,-0.004963271277630439,-0.016289988979994237,-0.025057460978397554,0.02032964648325111,0.0880075504866594,0.1043635424919251,0.17418401326626634,-0.11343589070229865,0.14846258238252766,0.14177767318468215,0.07339262349837747,0.12739263076729357
18,h1_trend_m5_rsi,0.12139659701752911,-0.2047382472933583,0.13570622076334007,-0.1343154106017107,0.17218965895397617,-0.07224115993333577,-0.2324944712567517,-0.15149414451762877,-0.07710445991180252,-0.02504195983940166,-0.05305412314927229,0.10297543761899526,-0.0049154097919986905,-0.27094764842634456,0.10887997435980061,0.25602425543525614,0.10052057303148873,0.1278431692722077,1.0,0.40684473018748113,-0.08446890055228613,-0.19980447939730653,0.016730092510477076,-0.07965680613530353,-0.24787152598302686,0.016376556866998796,0.14376673543110205,-0.009464251273292123,0.08547274413206739,-0.10152676914622454,-0.036973091351662206,0.12333807585398494,-0.03159463541356037,-0.16083408698647148,0.06124768211526384,-0.09837024045511879,-0.01677311644503748,0.044775013504034955,0.11876052104109215,-0.06371029358820832,-0.17033282665602756,-0.09342832879238894,-0.08998745503428322,-0.22533166092350182,-0.2554404514825407,-0.15778811964543418,0.006538879022987013
19,h1_trend_m5_stoch,0.028567845396775513,-0.14164901044311295,0.06399285936207362,-0.08076126928821759,0.0753351835719776,-0.09060459610018272,-0.18567560005353784,-0.1271218307577306,-0.06010714724176315,0.02789419734872309,-0.0015808946343098189,0.12551859315925482,0.008838996783607984,-0.09662299764302265,0.02404580423732545,0.19193842419702178,0.033672779755798576,0.057202980209172624,0.40684473018748113,1.0,-0.03321453314514558,-0.1327588491609111,-0.010700644094225588,-0.07028119678792606,-0.18663357250096868,-0.0188118118142589,0.096238257303689,-0.046767601021766234,-0.08334446614580115,-0.08635754847773919,-0.05572826034573144,-0.0023084409608425706,-0.03172488096522895,-0.09373614018507323,0.005439498058178797,-0.08566185382697619,0.06848356651482078,0.10795276987212384,0.08717346024399288,0.03735922693525595,-0.09591509588610367,-0.06872473028195031,0.06440292539729976,-0.13610376238456653,-0.19494682972479463,-0.0905534360335279,0.05419748383771435
20,heikin_ashi_ema,0.03996949182350214,0.27424527675352883,-0.12823154019856456,0.14562751976865132,-0.014496912120308493,0.1603261519613293,0.2737973314260265,0.4025909287125253,0.05672792385599516,0.2727670466952647,0.0658024837926591,-0.015312921201187197,0.26555951640896985,0.28541582260315723,0.01851125566440236,-0.07254718278192768,-0.008110953366954882,0.11837010094211617,-0.08446890055228613,-0.03321453314514558,1.0,0.34613638118896267,0.3261985328407709,0.20159673076637552,0.36834758524729494,0.12007663632766344,-0.05461812531862893,0.08458601080793836,-0.05620323214805361,0.2978661999560148,0.08165807749741086,0.08865519420169406,0.10570791395222745,0.06328679873072635,-0.07393973849108128,0.08765970044807081,0.011109598448004198,-0.005746877326759544,-0.09247773395121049,0.27184085188444246,0.2825157351036588,0.15606358361516498,-0.010102521546993289,0.30203342727078114,0.2648862160183428,0.3414166485580364,0.16938819337553182
21,ichimoku_cloud_bounce,-0.025560292608428466,0.6151034495227643,-0.37591016937042426,0.5032116478264953,-0.07990961843213225,0.41819682972687494,0.6898341359706676,0.5692107694511306,0.05336816954528737,0.19603972696303046,0.154669616475225,0.030723085188890203,0.2954388750829488,0.4527056926716008,0.018085505828279426,-0.22689555936692304,0.04049919927258456,0.13154639446742744,-0.19980447939730653,-0.1327588491609111,0.34613638118896267,1.0,0.3912936419289635,0.4283101041241483,0.7188676602521166,0.10466851059041875,-0.10877422707472674,0.288043258663443,-0.10927392191856068,0.29029516475091954,0.32831991413838746,0.10927476410952666,0.1240176405716842,0.21663678611710668,-0.13987742874437425,0.19847418823058688,-0.01707952471000249,-0.016785463456432184,-0.15470523907975248,0.24741408560446268,0.5920296299435386,0.4155487673629639,-0.03800893151808213,0.6405288618487055,0.6968115763013771,0.39739927026327804,0.08283302603818174
22,ichimoku_cloud_break,-0.017537363434646278,0.15001471480121084,-0.06846659051252979,0.15327097761457384,-0.02962308688020617,0.21345178363882947,0.14349574878010346,0.31129665608006685,0.03002653805744755,0.2487098946506942,0.040752953859487774,0.09063411725134003,0.27023280578641873,0.14731088905017364,-0.0008708084867406636,-0.07066458521747565,0.016702109734151312,0.07277878923543263,0.016730092510477076,-0.010700644094225588,0.3261985328407709,0.3912936419289635,1.0,0.24547111836349034,0.2738745337603578,0.045922041810194526,-0.017170767806859975,0.06478618436654963,0.0480385313497919,0.2393247650070584,0.14721558194582188,0.26077856950048295,0.1643460724805215,0.010105046888216465,-0.025284771078304673,0.07822024027626963,-0.0398997718105684,-0.038557078143746835,-0.04343370095611936,0.22501719552613497,0.20017878414596255,0.08815250356935551,-0.07256409744975235,0.22368170458725556,0.14227109185409412,0.27127513707909756,0.12693397052378597
23,keltner_rsi,0.007419037146157359,0.34617388825733914,-0.3821841251586139,0.5580677655167668,0.055416580848791336,0.6475170996046028,0.43162936528357204,0.43965339691633726,0.06686077883297105,0.037679851069131215,0.10044479042947006,0.029350290568172444,0.23951615772955878,0.14147898947705032,0.07438445899399287,-0.18463046723714652,0.09955809746579149,0.19728812675042903,-0.07965680613530353,-0.07028119678792606,0.20159673076637552,0.4283101041241483,0.24547111836349034,1.0,0.41191578969293374,0.2483314084749786,-0.07180038115573316,0.28707225439924866,-0.02533692972642601,0.3592698086134182,0.44965803937127885,0.07922041773923125,0.199667194812655,0.038622369282616045,-0.018890402006493702,0.12452273953051506,-0.02893243690909152,-0.012670823400630919,-0.03211644136625785,0.11909272880006828,0.3364350978841256,0.32363121564882935,-0.07203513595801625,0.4509452941006289,0.44131033801424346,0.3178489920653245,0.10144247360954968
24,ma_ribbon_pullback,0.03209334727604382,0.5734678570589709,-0.35053338134591716,0.5025225783099105,0.02032957114904421,0.4526284251601451,0.741836585933492,0.7634563872937051,0.1335590974995329,0.10140265141186622,0.10917241165919295,-0.02660819104900377,0.2522964637040067,0.46479327945320925,0.13160404396332803,-0.24750338972504185,0.10810965328206794,0.13242250441576292,-0.24787152598302686,-0.18663357250096868,0.36834758524729494,0.7188676602521166,0.2738745337603578,0.41191578969293374,1.0,0.17588404325999688,-0.0966107126737162,0.41022425825868,-0.06111309955609858,0.3070841975286451,0.31103252609722165,0.04493165543066581,0.2223728867769818,0.25022814176049646,-0.05531071683054281,0.2206245465597302,-0.04703629460419532,-0.013399168864089303,-0.12196906008114719,0.2582050778391046,0.5403401946281594,0.4324809708089363,-0.055553226823578515,0.6885461303148595,0.7525076244472704,0.45409407455541745,0.16392714914836895
25,macd_bb_breakout,0.13248452566065397,0.11376365470234799,-0.19513701033169512,0.21914801339628687,0.06429189378437748,0.2915779459047965,0.1858116749901187,0.20565881024945198,0.005336846357319586,0.011952256671707757,0.050084296539001996,-0.07087112885717482,0.03515739628953462,0.028303541720053133,0.14580297833067066,-0.06313470168323417,0.09427267907284737,0.34968141427479316,0.016376556866998796,-0.0188118118142589,0.12007663632766344,0.10466851059041875,0.045922041810194526,0.2483314084749786,0.17588404325999688,1.0,-0.03004478426189,0.3262417226434329,-0.024169865255939015,0.17080542068754787,0.06808080767880412,0.008188060606020772,0.1880926007204143,0.04212972168296061,0.013474740963233707,0.06935582686016249,-0.004782003105853615,-0.019413832548508786,0.009846938910702291,0.11299809486871648,0.12622997129334823,0.0945748645451881,-0.10811190093022549,0.14150406332934623,0.16761658305277383,0.06249716505243789,0.04474349032477312
26,macd_divergence,0.036353504098952286,-0.13470840542592824,0.18157602117434624,-0.055385452386746345,-0.016167379766085444,-0.03688687175734992,-0.06939964326699538,-0.07467164422464263,0.04282324241560071,-0.04369653987248826,-0.02682763940328068,0.041824736904946674,-0.03736392357062382,-0.07980783076025398,0.04780015466865094,0.10849096898351093,0.05336570443481539,0.013217156031496514,0.14376673543110205,0.096238257303689,-0.05461812531862893,-0.10877422707472674,-0.017170767806859975,-0.07180038115573316,-0.0966107126737162,-0.03004478426189,1.0,0.00209606498532431,0.16585977820834819,-0.010986767989450355,-0.05124494138002366,-0.004941633641445729,-0.00165402877767018,-0.11243744784160305,0.3600793144422872,0.009581511097861482,-0.06086152084164552,0.038637161605168155,0.3906825188752629,-0.05425983817199733,-0.12297748859546409,-0.11480743685059842,-0.022368104305938427,-0.038992744737613154,-0.07336970984225961,-0.023217905766991818,-0.018991126786379816
27,macd_ema_trend,0.06188572044372538,0.23868167178273494,-0.26061420492000276,0.36931319106340615,0.274352323970202,0.34131802207640305,0.4545436158980209,0.3775037635335438,0.07596804015830556,-0.027456008342611554,0.08936277919312358,-0.01818507069378808,0.1192203183587471,0.1647365136596727,0.18802792092337145,-0.04675407788118344,0.23940053179171897,0.3682019872063621,-0.009464251273292123,-0.046767601021766234,0.08458601080793836,0.288043258663443,0.06478618436654963,0.28707225439924866,0.41022425825868,0.3262417226434329,0.00209606498532431,1.0,-0.057368230597222916,0.19446396233944044,0.21145157237299841,0.08817332121383144,0.2407140947138055,0.1603889864232236,0.05092295986091425,0.1291645497792658,-0.015927971262633733,-0.028094487681742553,0.04988744937304585,0.10318051186804174,0.2662191805993767,0.32582665083119033,-0.18367899042880245,0.3625495449979835,0.45236150541401954,0.21556409441074662,0.1568400733802546
28,macd_histogram_div,0.06459777775042944,-0.12252964992301697,0.11315189539520024,-0.06580804406910838,0.06716372706351076,0.000978197586446945,0.006741082610584202,-0.0538682905847458,0.10341635610763555,-0.07460118184573049,0.05645422441624764,-0.02515017490733522,-0.002941782925792431,-0.12226257934032873,0.0778000275531906,-0.012400846213347255,0.07883027802120014,-0.02010834681139861,0.08547274413206739,-0.08334446614580115,-0.05620323214805361,-0.10927392191856068,0.0480385313497919,-0.02533692972642601,-0.06111309955609858,-0.024169865255939015,0.16585977820834819,-0.057368230597222916,1.0,-0.041589769679873094,0.06413488005460977,0.15193899418976622,-0.07674540795928107,0.00018871591085972697,0.10807240790720227,0.08791369186172054,-0.13611964148244576,-0.055486231384587255,0.13268231575551925,-0.11489317085308705,-0.11371011156234724,-0.041521672613004545,-0.20084826885780782,-0.08547509392928494,-0.003274258315828698,-0.06349462612303867,-0.06447264720094925
